ちびまる子ちゃん	チビマルコチャン
サザエさん	サザエサン
きかんしゃトーマス	キカンシャトーマス
アンパンマン	アンパンマン
しまじろう	シマジロウ
デビルマン	デビルマン
赤ずきんチャチャ	アカズキンチャチャ
映像研には手を出すな！	エイゾウケンニハテヲダスナ
宇宙少年ソラン	ウチュウショウネンソラン
少女革命ウテナ	ショウジョカクメイウテナ
トライガン	トライガン
ラ・セーヌの星	ラセーヌノホシ
宇宙戦艦ヤマト	ウチュウセンカンヤマト
NARUTO -ナルト-	ナルト
かぐや様は告らせたい	カグヤサマハコクラセタイ
君の名は。	キミノナハ
鬼滅の刃	キメツノヤイバ
ヴィンランド・サガ	ヴィンランドサガ
ジャングル大帝	ジャングルタイテイ
天空の城ラピュタ	テンノウノシロラピュタ
美少女戦士セーラームーン	ビショウジョセンシセーラームーン
めぞん一刻	メゾンイッコク
銀河鉄道999	ギンガテツドウスリーナイン
リコリス・リコイル	リコリスリコイル
舞-HiME	マイヒメ
∀ガンダム	ターンエーガンダム
銀魂	ギンタマ
交響詩篇エウレカセブン	コウキョウシヘンエウレカセブン
東京リベンジャーズ	トウキョウリベンジャーズ
スーパーカブ	スーパーカブ
地獄先生ぬ～べ～	ジゴクセンセイヌーベー
鋼の錬金術師	ハガネノレンキンジュツシ
ひぐらしのなく頃に	ヒグラシノナクコロニ
名探偵コナン	メイタンテイコナン
葬送のフリーレン	ソウソウノフリーレン
Fate/stay night	フェイトステイナイト
機動戦士ガンダムZZ	キドウセンシガンダムダブルゼータ
SHIROBAKO	シロバコ
スラムダンク	スラムダンク
SPY×FAMILY	スパイファミリー
Dr.スランプ アラレちゃん	ドクタースランプアラレチャン
サスケ	サスケ
機動戦士ガンダム	キドウセンシガンダム
超時空要塞マクロス	チョウジクウヨウサイマクロス
機動武闘伝Gガンダム	キドウブトウデンジーガンダム
Re:ゼロから始める異世界生活	リゼロカラハジメルイセカイセイカツ
魔法少女まどか☆マギカ	マホウショウジョマドカマギカ
未来少年コナン	ミライショウネンコナン
聖闘士星矢	セイントセイヤ
おそ松さん	オソマツサン
おそ松くん	オソマツクン
鉄人28号	テツジンニジュウハチゴウ
機動警察パトレイバー	キドウケイサツパトレイバー
ブラック・ラグーン	ブラックラグーン
タッチ	タッチ
らんま1/2	ランマニブンノイチ
キテレツ大百科	キテレツダイヒャッカ
ハイスクール！奇面組	ハイスクールキメングミ
狼少年ケン	オオカミショウネンケン
Fate/Zero	フェイトゼロ
ゆるキャン	ユルキャン
ローゼンメイデン	ローゼンメイデン
キャプテンハーロック	キャプテンハーロック
天元突破グレンラガン	テンゲントッパグレンラガン
じゃりン子チエ	ジャリンコチエ
機動戦士Ζガンダム	キドウセンシゼータガンダム
マジンガーZ	マジンガーゼット
ポケットモンスター	ポケットモンスター
ARIA The Animation	アリアジアニメーション
ドラえもん	ドラエモン
鉄腕アトム	テツワンアトム
呪術廻戦	ジュジュツカイセン
クラナド	クラナド
エイトマン	エイトマン
幽☆遊☆白書	ユウユウハクショ
巨人の星	キョジンノホシ
オバケのQ太郎	オバケノキュータロウ
キン肉マン	キンニクマン
あんみつ姫	アンミツヒメ
るろうに剣心	ルロウニケンシン
僕のヒーローアカデミア	ボクノヒーローアカデミア
妖怪人間ベム	ヨウカイニンゲンベム
スーパージェッター	スーパージェッター
カードキャプターさくら	カードキャプターサクラ
蟲師	ムシシ
アタックNo.1	アタックナンバーワン
あしたのジョー	アシタノジョー
その着せ替え人形は恋をする	ソノキセカエニンギョウハコイヲスル
科学忍者隊ガッチャマン	カガクニンジャタイガッチャマン
ノーゲーム・ノーライフ	ノーゲームノーライフ
天地無用！	テンチムヨウ
新世紀エヴァンゲリオン	シンセイキエヴァンゲリオン
ドラえもん	ドラエモン
うる星やつら	ウルセイヤツラ
となりのトトロ	トナリノトトロ
推しの子	オシノコ
薬屋のひとりごと	クスリヤノヒトリゴト
クレヨンしんちゃん	クレヨンシンチャン
STEINS;GATE	シュタインズゲート
千と千尋の神隠し	セントチヒロノカミカクシ
進撃の巨人	シンゲキノキョジン
小林さんちのメイドラゴン	コバヤシサンチノメイドラゴン
北斗の拳	ホクトノケン
ルパン三世	ルパンサンセイ
デスノート	デスノート
キャンディ・キャンディ	キャンディキャンディ
涼宮ハルヒの憂鬱	スズミヤハルヒノユウウツ
シティーハンター	シティーハンター
ドカベン	ドカベン
ドラゴンボール	ドラゴンボール
BLEACH	ブリーチ
ワンパンマン	ワンパンマン
化物語	バケモノガタリ
キャッツ・アイ	キャッツアイ
魔法の天使クリィミーマミ	マホウノテンシクリィミーマミ
ハリスの旋風	ハリスノセンプウ
銀河英雄伝説	ギンガエイユウデンセツ
機動戦士Vガンダム	キドウセンシブイガンダム
タイムボカン	タイムボカン
ヴァイオレット・エヴァーガーデン	ヴァイオレットエヴァーガーデン
ブルーロック	ブルーロック
銀牙 -流れ星 銀-	ギンガ ナガレボシ ギン
チェンソーマン	チェンソーマン
【推しの子】	オシノコ
魔法少女リリカルなのは	マホウショウジョリリカルナノハ
ソードアート・オンライン	ソードアートオンライン
ゼロの使い魔	ゼロノツカイマ
やはり俺の青春ラブコメはまちがっている。	ヤハリオレノセイシュンラブコメハマチガッテイル
地獄楽	ジゴクラク
スクールランブル	スクールランブル
この素晴らしい世界に祝福を！	コノスバラシイセカイニシュクフクヲ
モブサイコ100 III	モブサイコヒャク スリー
ふしぎ遊戯	フシギユウギ
忍たま乱太郎	ニンタマランタロウ
ぼっち・ざ・ろっく！	ボッチザロック
コードギアス 反逆のルルーシュ	コードギアス ハンギャクノルルーシュ
プリキュア	プリキュア
ど根性ガエル	ドコンジョウガエル
ヤッターマン	ヤッターマン
忍者ハットリくん	ニンジャハットリクン
キャプテン翼	キャプテンツバサ
トランスフォーマー	トランスフォーマー
ぼのぼの	ボノボノ
こちら葛飾区亀有公園前派出所	コチラカツシカクカメアリコウエンマエハシュツジョ
