942.1hPa	キュウヒャクヨンジュウニテンイチヘクトパスカル
942.9hpa	キュウヒャクヨンジュウニテンキュウヘクトパスカル
942.9hPa	キュウヒャクヨンジュウニテンキュウヘクトパスカル
キュウヒャクヨンジュウニテンキュウヘクトパスカル	キュウヒャクヨンジュウニテンキュウヘクトパスカル
942.5hpa	キュウヒャクヨンジュウニテンゴヘクトパスカル
942.5hPa	キュウヒャクヨンジュウニテンゴヘクトパスカル
キュウヒャクヨンジュウニテンゴヘクトパスカル	キュウヒャクヨンジュウニテンゴヘクトパスカル
942.3hPa	キュウヒャクヨンジュウニテンサンヘクトパスカル
942.3hpa	キュウヒャクヨンジュウニテンサンヘクトパスカル
キュウヒャクヨンジュウニテンサンヘクトパスカル	キュウヒャクヨンジュウニテンサンヘクトパスカル
キュウヒャクヨンジュウニテンナナヘクトパスカル	キュウヒャクヨンジュウニテンナナヘクトパスカル
942.7hpa	キュウヒャクヨンジュウニテンナナヘクトパスカル
942.7hPa	キュウヒャクヨンジュウニテンナナヘクトパスカル
942.2hPa	キュウヒャクヨンジュウニテンニヘクトパスカル
942.2hpa	キュウヒャクヨンジュウニテンニヘクトパスカル
キュウヒャクヨンジュウニテンニヘクトパスカル	キュウヒャクヨンジュウニテンニヘクトパスカル
942.8hPa	キュウヒャクヨンジュウニテンハチヘクトパスカル
キュウヒャクヨンジュウニテンハチヘクトパスカル	キュウヒャクヨンジュウニテンハチヘクトパスカル
942.8hpa	キュウヒャクヨンジュウニテンハチヘクトパスカル
キュウヒャクヨンジュウニテンヨンヘクトパスカル	キュウヒャクヨンジュウニテンヨンヘクトパスカル
942.4hpa	キュウヒャクヨンジュウニテンヨンヘクトパスカル
942.4hPa	キュウヒャクヨンジュウニテンヨンヘクトパスカル
942.6hpa	キュウヒャクヨンジュウニテンロクヘクトパスカル
942.6hPa	キュウヒャクヨンジュウニテンロクヘクトパスカル
キュウヒャクヨンジュウニテンロクヘクトパスカル	キュウヒャクヨンジュウニテンロクヘクトパスカル
942t	キュウヒャクヨンジュウニトン
キュウヒャクヨンジュウニトン	キュウヒャクヨンジュウニトン
942度	キュウヒャクヨンジュウニド
キュウヒャクヨンジュウニド	キュウヒャクヨンジュウニド
942℃	キュウヒャクヨンジュウニドシー
キュウヒャクヨンジュウニドシー	キュウヒャクヨンジュウニドシー
