兵庫県養父市葛畑	ヒョウゴケンヤブシカズラハタ
兵庫県養父市鉄屋米地	ヒョウゴケンヤブシカナヤメイジ
兵庫県養父市川原場	ヒョウゴケンヤブシカワラバ
兵庫県養父市草出	ヒョウゴケンヤブシクサイデ
兵庫県養父市口米地	ヒョウゴケンヤブシクチメイジ
兵庫県養父市小城	ヒョウゴケンヤブシコジョウ
兵庫県養父市左近山	ヒョウゴケンヤブシサコヤマ
兵庫県養父市新津	ヒョウゴケンヤブシシンヅ
兵庫県養父市十二所	ヒョウゴケンヤブシジュウニショ
兵庫県養父市関宮	ヒョウゴケンヤブシセキノミヤ
兵庫県養父市建屋	ヒョウゴケンヤブシタキノヤ
兵庫県養父市玉見	ヒョウゴケンヤブシタマミ
兵庫県養父市丹戸	ヒョウゴケンヤブシタンド
兵庫県養父市出合	ヒョウゴケンヤブシデアイ
兵庫県養父市轟	ヒョウゴケンヤブシトドロキ
兵庫県養父市外野	ヒョウゴケンヤブシトノ
兵庫県養父市中瀬	ヒョウゴケンヤブシナカゼ
兵庫県養父市中米地	ヒョウゴケンヤブシナカメイジ
兵庫県養父市長野	ヒョウゴケンヤブシナガノ
兵庫県養父市梨ケ原	ヒョウゴケンヤブシナシガハラ
兵庫県養父市奈良尾	ヒョウゴケンヤブシナラオ
兵庫県養父市能座	ヒョウゴケンヤブシノウザ
兵庫県養父市畑	ヒョウゴケンヤブシハタ
兵庫県養父市広谷	ヒョウゴケンヤブシヒロタニ
兵庫県養父市福定	ヒョウゴケンヤブシフクサダ
兵庫県養父市船谷	ヒョウゴケンヤブシフネダニ
兵庫県養父市別宮	ヒョウゴケンヤブシベックウ
兵庫県養父市堀畑	ヒョウゴケンヤブシホリハタ
兵庫県養父市万久里	ヒョウゴケンヤブシマクリ
兵庫県養父市三谷	ヒョウゴケンヤブシミタニ
兵庫県養父市三宅	ヒョウゴケンヤブシミヤケ
兵庫県養父市餅耕地	ヒョウゴケンヤブシモチゴウチ
兵庫県養父市森	ヒョウゴケンヤブシモリ
兵庫県養父市安井	ヒョウゴケンヤブシヤスイ
兵庫県養父市養父市場	ヒョウゴケンヤブシヤブイチバ
兵庫県養父市薮崎	ヒョウゴケンヤブシヤブサキ
兵庫県養父市八鹿町青山	ヒョウゴケンヤブシヨウカチョウアオヤマ
